,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainset
0,1,1,1.0761484424273173,0.5877333333333333,11.230670690536499,19.796727895736694,0.01,1000,1,cpu,not_normal
1,1,2,0.6044286226232847,0.7649666666666667,11.334749937057495,31.233519792556763,0.01,1000,1,cpu,not_normal
2,1,3,0.5014486481746038,0.8116333333333333,10.05025315284729,41.35859990119934,0.01,1000,1,cpu,not_normal
3,1,4,0.44751857419808705,0.8353166666666667,10.306862115859985,51.73285412788391,0.01,1000,1,cpu,not_normal
4,1,5,0.41767045160134636,0.8453166666666667,9.693973302841187,61.49083971977234,0.01,1000,1,cpu,not_normal
5,2,1,0.8104465931653977,0.6923666666666667,9.785131931304932,10.048035144805908,0.01,1000,1,cpu,normal
6,2,2,0.4401034394900004,0.8363,10.52684497833252,20.640422105789185,0.01,1000,1,cpu,normal
7,2,3,0.36208655883868535,0.8666833333333334,9.533041000366211,30.239516019821167,0.01,1000,1,cpu,normal
8,2,4,0.3284121334552765,0.8784166666666666,9.327515840530396,39.632896900177,0.01,1000,1,cpu,normal
9,2,5,0.30478130976359047,0.8872166666666667,9.154029130935669,48.851036071777344,0.01,1000,1,cpu,normal
